id,name,latitude,longitude,free_bikes,empty_slots
6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,49.279764,-123.110154,20,4
6ddeafa873279951630a00191333c45d,Robson & Granville,49.281506,-123.120101,8,14
6eaa02e5bcf78db5386683d38fa2dabd,4th & Commercial,49.266969,-123.069936,5,9
707c1c54e0278fbae5d0ae3c42a25b71,8th & Scotia,49.263635,-123.099236,8,3
7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),49.279739,-123.116251,12,7
71c064fa93cab5f0b7306e6c923b77c4,7th & Granville,49.2653,-123.13811,5,9
72c1049dfbbde7c24ec45c14f1a5ee85,Harwood & Bute,49.28026,-123.135244,2,17
73f388336d879bedc962cd412eb0296e,Creekside Park North,49.2756,-123.102661,6,12
77163e893653b88926e07fd6b9f688da,Nicola & Robson,49.2885056,-123.1312375,7,10
797ff1725f8d2b18337de51e240ff60d,10th & Commercial,49.261403,-123.070102,10,14
7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,49.262487,-123.114397,17,17
7b8dfa12900bcb02b47a14e4e5010ba3,Quebec & 1st,49.27033,-123.10275,5,13
7c17f51469f1a7145455f65ef6afbd87,Lakewood & Oxford,49.285575,-123.061575,6,12
7d231a181d21056e4ba80c4d9939fe92,Carolina & Great Northern Way,49.267266,-123.090786,11,4
7ed043a19e6a4ece742fe747b663bdbf,Columbia & 5th,49.266476,-123.109389,6,12
7f091b50fbbd892bf9fb869a64c47120,East Blvd & 37th,49.238105,-123.154966,8,9
80b5c12ef21fd47275d37b2c9935249c,Trafalgar & Cornwall,49.272969,-123.164325,10,10
826af7eee4ce28b6fa4b4f0211305792,5th & Arbutus,49.267222,-123.153157,4,11
82c794442f54fabf9db6e392ca1fac0f,Stanley Park - Information Booth,49.297933,-123.130758,18,3
838d5bb59963474ad08a6d5b156943ed,14th & Main,49.258425,-123.100792,4,10
852212d6d52b5f00544fad01d21c7db2,Georgia & Main,49.278529,-123.100017,4,15
8757f74d199ba5cdbcf6ffe98a993c4d,Agronomy & East Mall,49.261736,-123.24648,2,15
