distance,name,popularity,rating,latitude,longitude,category,bike_latitude,bike_longitude
885,Davie Dosa Co,0.9014212237812067,7.6,49.282249,-123.133723,South Indian Restaurant,49.28803,-123.142135
318,A&W Restaurant,0.9628434840063741,7.1,49.28964,-123.138493,American Restaurant,49.28803,-123.142135
537,Stanley Park Brewing Restaurant & Brewpub,0.9735447679013305,7.3,49.292295,-123.146508,Brewery,49.28803,-123.142135
974,Breaking Bean,0.9779626102841152,7.5,49.291395,-123.129719,Café,49.28803,-123.142135
625,Banana Leaf,0.9711220801430293,7.1,49.291374,-123.13499,Malay Restaurant,49.28803,-123.142135
579,Breka Bakery and Cafe,0.9912031818829595,6.9,49.291338,-123.135961,Café,49.28803,-123.142135
260,Tim Hortons,0.9802816536463395,6.5,49.289295,-123.139112,"Cafe, Coffee, and Tea House",49.28803,-123.142135
892,European Delicatessen,0.8531618018578258,6.7,49.282028,-123.133948,Deli,49.28803,-123.142135
220,Yummy to Go,0.9730135903714356,5.8,49.286439,-123.140328,Sushi Restaurant,49.28803,-123.142135
46,Morton Park,0.9895319159962169,,49.287622,-123.14197,Restaurant,49.28803,-123.142135
727,Blenz Coffee,0.9773148328086336,6.3,49.289661,-123.132329,Coffee Shop,49.28803,-123.142135
102,Beeryani Indian Bistro and Bar,0.9209322813427131,,49.287324,-123.141215,Indian Restaurant,49.28803,-123.142135
113,Thai House Restaurant,0.2634510992783759,,49.288348,-123.140653,Thai Restaurant,49.28803,-123.142135
118,Big Bang Sushi,0.4647414720095353,,49.288327,-123.140571,Sushi Restaurant,49.28803,-123.142135
385,McDonald's,0.9965797349294571,5.8,49.285281,-123.139012,Burger Joint,49.28803,-123.142135
217,Sushi Aboard,0.9508725562594738,,49.288945,-123.139488,Sushi Restaurant,49.28803,-123.142135
734,Chongqing Liuyishou HotPot Restaurant,0.956469353647635,6.1,49.288997,-123.13211,Szechuan Restaurant,49.28803,-123.142135
931,Blenz Coffee,0.9662896601759363,6.2,49.281941,-123.133372,Café,49.28803,-123.142135
424,The Gazebo by English Bay,0.7668519310246544,,49.284303,-123.140875,Hookah Bar,49.28803,-123.142135
428,Gabriola House,0.9120706854781245,,49.284915,-123.138656,Historic and Protected Site,49.28803,-123.142135
454,Uno Brazilian Snacks,0.14980501897988002,,49.284704,-123.138476,Brazilian Restaurant,49.28803,-123.142135
527,Habibi Donair,0.7317164807545312,,49.291029,-123.136502,Middle Eastern Restaurant,49.28803,-123.142135
600,Holy Guacamole,0.8859522976667056,,49.291524,-123.135814,Mexican Restaurant,49.28803,-123.142135
636,Cobs Bread,0.961159262570122,,49.290453,-123.134182,Bakery,49.28803,-123.142135
619,The Boxcar,0.933486208817547,8.9,49.276469,-123.100214,Arts and Entertainment,49.273777,-123.092723
660,Phnom Penh,0.9910606708383536,9.0,49.278403,-123.098188,Cambodian Restaurant,49.273777,-123.092723
729,Creekside Park,0.9984712451578633,9.0,49.274585,-123.102893,Restaurant,49.273777,-123.092723
552,Torafuku,0.9619884177387384,8.3,49.275928,-123.0996,Asian Restaurant,49.273777,-123.092723
894,Earnest Ice Cream,0.9867594284011556,9.3,49.268876,-123.102894,Ice Cream Parlor,49.273777,-123.092723
853,Bao Bei,0.9763172554963919,9.0,49.279609,-123.100805,Chinese Restaurant,49.273777,-123.092723
902,Keefer Bar,0.9840258074546232,9.1,49.279619,-123.101293,Cocktail Bar,49.273777,-123.092723
743,Nemesis Coffee,0.9895966937437651,8.5,49.267091,-123.092602,Coffee Shop,49.273777,-123.092723
835,Kissa Tanto,0.9652402606656562,8.8,49.28055,-123.098127,Italian Restaurant,49.273777,-123.092723
659,Red Truck Beer,0.970461347118038,8.1,49.268585,-123.097272,Brewery,49.273777,-123.092723
865,Mello,0.9818751862360242,8.4,49.280489,-123.098771,Donut Shop,49.273777,-123.092723
882,La Casa Gelato,0.9963983572363222,8.4,49.276991,-123.081598,Ice Cream Parlor,49.273777,-123.092723
948,Fortune Sound Club,0.954914687706479,8.3,49.280566,-123.100644,Night Club,49.273777,-123.092723
960,New Town Bakery & Restaurant,0.9888711829712257,8.3,49.280309,-123.100946,Bakery,49.273777,-123.092723
983,Chinatown BBQ,0.9782735434723464,8.3,49.280546,-123.101453,BBQ Joint,49.273777,-123.092723
825,Narrow Lounge,0.9510539339526086,8.1,49.268334,-123.100495,Lounge,49.273777,-123.092723
981,Fife Bakery,0.9585551971186858,8.3,49.268088,-123.10307,Bakery,49.273777,-123.092723
990,Gusto a Taste of Italy,0.9715366577273375,8.2,49.271332,-123.105861,Bistro,49.273777,-123.092723
873,Tractor Foods - Olympic Village,0.931231943202871,8.1,49.269535,-123.102869,Salad Restaurant,49.273777,-123.092723
871,Propaganda Coffee,0.9799707204581082,8.0,49.280499,-123.099259,Café,49.273777,-123.092723
851,Amato Gelato Cafe,0.9929392255172503,8.0,49.270065,-123.102995,Ice Cream Parlor,49.273777,-123.092723
890,Kranky Cafe,0.9603819295995439,8.0,49.267206,-123.09975,Restaurant,49.273777,-123.092723
575,American Hotel,0.9967352015235726,7.6,49.276324,-123.099634,Arcade,49.273777,-123.092723
534,Bodega on Main,0.9907367821006128,7.6,49.275439,-123.099639,Tapas Restaurant,49.273777,-123.092723
688,The Ramen Butcher,0.9623770842240273,7.7,49.278661,-123.098778,Chinese Restaurant,49.273777,-123.092723
547,Upstairs at Campagnolo,0.9033904673066708,7.5,49.275382,-123.099635,Bar,49.273777,-123.092723
791,Pacific Poke,0.6890538562193116,7.6,49.27912,-123.099952,Poke Restaurant,49.273777,-123.092723
838,Juke Fried Chicken,0.9849974736678456,7.6,49.279372,-123.100298,Bar,49.273777,-123.092723
557,Hunnybee Bruncheonette,0.9966315571274955,7.4,49.277873,-123.097169,Coffee Shop,49.273777,-123.092723
990,Tap & Barrel,0.9802168758987913,7.7,49.271827,-123.106065,Gastropub,49.273777,-123.092723
998,Dosanko,0.9920452926010856,7.5,49.282756,-123.092067,Japanese Restaurant,49.273777,-123.092723
902,Dixies BBQ,0.8181947737313278,7.4,49.281497,-123.096585,BBQ Joint,49.273777,-123.092723
990,Prototype Coffee Inc,0.9619106844416806,7.2,49.281214,-123.085202,Café,49.273777,-123.092723
939,Luppolo Brewing Co,0.972365812895954,7.1,49.276934,-123.080701,Bar,49.273777,-123.092723
700,Fat Mao Noodles,0.960096907510332,6.9,49.278692,-123.099348,Chinese Restaurant,49.273777,-123.092723
880,Starbucks,0.9764079443429593,7.1,49.269499,-123.102947,Coffee Shop,49.273777,-123.092723
921,Brewhall,0.9801002759532046,6.9,49.269396,-123.103425,Beer Bar,49.273777,-123.092723
472,Starbucks,0.9894412271496495,6.5,49.271053,-123.087585,Coffee Shop,49.273777,-123.092723
228,Java Music Club Inc,0.9299882104499463,,49.272147,-123.094654,Café,49.273777,-123.092723
728,London Pub,0.9767966108282483,6.1,49.278471,-123.099573,Arts and Entertainment,49.273777,-123.092723
405,Benny's Market,0.9871092282379157,,49.277382,-123.091854,Deli,49.273777,-123.092723
404,Tim Hortons,0.9983028230142381,5.5,49.272159,-123.097819,"Cafe, Coffee, and Tea House",49.273777,-123.092723
521,Citygate Wraps and Curry,0.3915685283791312,,49.275398,-123.099474,Indian Restaurant,49.273777,-123.092723
603,Bar Gobo,0.9308173656185628,,49.277858,-123.098223,Wine Bar,49.273777,-123.092723
750,Cazba Food Truck,0.7796390583906616,,49.267177,-123.0905,Food Truck,49.273777,-123.092723
792,Triple O's,0.9872646948320313,5.5,49.273745,-123.10366,Burger Joint,49.273777,-123.092723
798,Zhao Mah Bakery Ltd,0.9453016699703318,,49.280112,-123.097928,Bakery,49.273777,-123.092723
803,Red Beef Noodle Kitchen,0.9880420278026093,,49.279614,-123.099264,Noodle Restaurant,49.273777,-123.092723
816,Kevin & Kevin,0.9234586134970915,,49.280529,-123.097152,Café,49.273777,-123.092723
833,M & a Cafe,0.7147965330949512,,49.268571,-123.101002,Diner,49.273777,-123.092723
534,Small Victory,0.9798152538639926,8.8,49.258291,-123.138568,Bakery,49.259469,-123.145718
475,Stable House Bistro,0.9560418205138171,8.1,49.259717,-123.139177,Restaurant,49.259469,-123.145718
648,Lin's Chinese Cuisine and Tea House,0.9707075025587211,8.4,49.263764,-123.139847,Chinese Restaurant,49.259469,-123.145718
850,Beaucoup Bakery & Cafe,0.9743609675204373,9.0,49.266477,-123.140728,Bakery,49.259469,-123.145718
975,Rain or Shine Ice Cream,0.9763690776944304,8.9,49.267929,-123.1488,Ice Cream Parlor,49.259469,-123.145718
928,Cheesecake Etc,0.9877829168124166,8.6,49.266415,-123.138696,Dessert Shop,49.259469,-123.145718
977,Maenam,0.9350279192091933,8.7,49.267913,-123.148961,Thai Restaurant,49.259469,-123.145718
